run_idx,config,seed,warmup,n_stations,per_op_plan_time,per_op_exec_time,full_cycle_time,success,failure_cause
0,config_1,1000,1,2,0.106;0.097,4.462;8.51,78.425,1,none
1,config_1,1001,0,2,0.089;0.109,4.459;6.309,78.203,1,none
2,config_1,1002,0,2,0.096;0.097,4.458;8.561,81.254,1,none
3,config_1,1003,0,2,0.108;0.092,4.461;8.56,80.946,1,none
4,config_1,1004,0,2,0.094;0.098,4.459;8.611,81.147,1,none
5,config_1,1005,0,2,0.108;0.09,4.461;6.36,78.365,1,none
6,config_1,1006,0,2,0.089;0.105,4.459;8.562,80.64,1,none
7,config_1,1007,0,2,0.097;0.106,4.458;6.358,78.312,1,none
8,config_1,1008,0,2,0.102;0.102,4.46;8.509,99.012,0,place_fail
9,config_1,1009,0,2,0.094;0.139,4.464;6.363,78.808,1,none
10,config_1,1010,0,2,0.165;0.11,4.962;10.168,85.86,1,none
11,config_1,1011,0,2,0.101;0.131,4.61;8.01,87.614,1,none
12,config_1,1012,0,2,0.145;0.161,4.913;10.36,86.123,1,none
13,config_1,1013,0,2,0.144;0.118,5.116;11.011,87.19,1,none
14,config_1,1014,0,2,0.114;0.12,5.715;8.315,84.701,1,none
15,config_1,1015,0,2,,,80.38,0,grasp_fail
16,config_1,2000,1,2,0.147;0.14,4.911;9.463,82.958,1,none
17,config_1,2001,0,2,0.141;0.185,4.913;16.064,91.576,1,none
18,config_1,2002,0,2,0.165;0.128,5.214;8.065,84.025,1,none
19,config_1,2003,0,2,0.145;0.156,5.515;7.261,84.056,1,none
20,config_1,2004,0,2,0.105;0.159,4.763;10.359,85.92,1,none
21,config_1,2005,0,2,0.12;0.129,5.015;7.361,83.309,1,none
22,config_1,2006,0,2,0.137;0.163,4.71;7.515,83.343,1,none
23,config_1,2007,0,2,0.155;0.148,4.96;10.113,85.865,1,none
24,config_1,2008,0,2,0.126;0.153,4.765;10.513,86.214,1,none
25,config_1,2009,0,2,0.146;0.121,4.708;10.266,86.201,1,none
26,config_1,2010,0,2,0.109;0.16,5.361;10.215,86.917,1,none
27,config_1,2011,0,2,0.114;0.174,4.859;8.012,83.692,1,none
28,config_1,2012,0,2,0.116;0.141,5.517;11.164,87.943,1,none
29,config_1,2013,0,2,0.148;0.135,4.665;7.511,83.384,1,none
30,config_1,2014,0,2,0.127;0.122,5.16;7.511,87.839,1,none
31,config_1,2015,0,2,0.098;0.131,4.766;10.462,86.439,1,none
