run_idx,config,seed,warmup,n_stations,per_op_plan_time,per_op_exec_time,full_cycle_time,success,failure_cause
0,config_1,2000,1,2,"0.147;0.14","4.911;9.463",82.958,1,none
1,config_1,2001,0,2,"0.141;0.185","4.913;16.064",91.576,1,none
2,config_1,2002,0,2,"0.165;0.128","5.214;8.065",84.025,1,none
3,config_1,2003,0,2,"0.145;0.156","5.515;7.261",84.056,1,none
4,config_1,2004,0,2,"0.105;0.159","4.763;10.359",85.92,1,none
5,config_1,2005,0,2,"0.12;0.129","5.015;7.361",83.309,1,none
6,config_1,2006,0,2,"0.137;0.163","4.71;7.515",83.343,1,none
7,config_1,2007,0,2,"0.155;0.148","4.96;10.113",85.865,1,none
8,config_1,2008,0,2,"0.126;0.153","4.765;10.513",86.214,1,none
9,config_1,2009,0,2,"0.146;0.121","4.708;10.266",86.201,1,none
10,config_1,2010,0,2,"0.109;0.16","5.361;10.215",86.917,1,none
11,config_1,2011,0,2,"0.114;0.174","4.859;8.012",83.692,1,none
12,config_1,2012,0,2,"0.116;0.141","5.517;11.164",87.943,1,none
13,config_1,2013,0,2,"0.148;0.135","4.665;7.511",83.384,1,none
14,config_1,2014,0,2,"0.127;0.122","5.16;7.511",87.839,1,none
15,config_1,2015,0,2,"0.098;0.131","4.766;10.462",86.439,1,none
