run_idx,config,seed,warmup,n_stations,per_op_plan_time,per_op_exec_time,full_cycle_time,success,failure_cause
0,config_1,1000,1,2,"0.094;0.105","4.458;8.513",67.195,1,none
1,config_1,1001,0,2,"0.097;0.095","4.459;6.308",66.669,1,none
2,config_1,1002,0,2,"0.096;0.108","4.459;8.514",69.204,1,none
3,config_1,1003,0,2,"0.093;0.113","4.459;8.557",69.369,1,none
4,config_1,1004,0,2,"0.091;0.099","4.461;6.414",66.806,1,none
5,config_1,1005,0,2,"0.095;0.109","4.508;6.358",67.256,1,none
6,config_1,1006,0,2,"0.098;0.085","4.461;8.61",69.702,1,none
7,config_1,1007,0,2,"0.099;0.098","4.461;6.36",67.666,1,none
8,config_1,1008,0,2,"0.101;0.113","4.465;14.007",75.322,1,none
9,config_1,1009,0,2,"0.093;0.109","4.456;6.362",67.879,1,none
10,config_1,1010,0,2,"0.083;0.108","4.46;8.608",69.389,1,none
11,config_1,1011,0,2,"0.101;0.092","4.511;6.408",67.558,1,none
12,config_1,1012,0,2,"0.081;0.098","4.46;6.36",67.739,1,none
13,config_1,1013,0,2,"0.157;0.108","6.769;8.613",82.62,1,none
14,config_1,1014,0,2,"0.092;0.094","4.458;8.659",69.729,1,none
15,config_1,1015,0,2,"0.09;0.099","4.46;6.407",67.313,1,none
16,config_1,1016,0,2,"0.092;0.09","4.462;6.361",67.764,1,none
17,config_1,1017,0,2,"0.092;0.105","4.463;8.609",69.9,1,none
18,config_1,1018,0,2,"0.08;0.087","4.46;6.359",67.736,1,none
19,config_1,1019,0,2,"0.106;0.122","4.459;24.459",85.962,1,none
20,config_1,1020,0,2,"0.101;0.108","4.461;6.361",67.314,1,none
21,config_1,1021,0,2,"0.09;0.084","4.46;6.365",67.346,1,none
22,config_1,1022,0,2,"0.079;0.122","4.461;14.11",75.59,1,none
23,config_1,1023,0,2,"0.1;0.108","4.459;8.662",70.414,1,none
24,config_1,1024,0,2,"0.097;0.097","4.463;8.658",69.467,1,none
25,config_1,1025,0,2,"0.096;0.093","4.511;6.409",67.822,1,none
26,config_1,1026,0,2,"0.095;0.104","4.459;8.61",69.427,1,none
27,config_1,1027,0,2,"0.092;0.097","4.457;6.414",67.803,1,none
28,config_1,1028,0,2,"0.092;0.113","4.463;6.408",67.81,1,none
29,config_1,1029,0,2,"0.08;0.102","4.462;6.412",67.446,0,place_fail
30,config_1,1030,0,2,"0.108;0.09","4.456;6.409",67.525,1,none
