run_idx,config,seed,warmup,n_stations,per_op_plan_time,per_op_exec_time,full_cycle_time,success,failure_cause
0,config_2,2000,1,3,"0.118;0.115;0.15;0.132","5.109;11.213;5.861;8.562",142.804,1,none
1,config_2,2001,0,3,"0.166;0.131;0.145;0.139","5.067;10.819;5.463;8.564",144.338,1,none
2,config_2,2002,0,3,"0.097;0.129;0.117;0.126","5.012;8.715;3.459;5.711",137.052,1,none
3,config_2,2003,0,3,"0.134;0.153;0.129;0.132","5.72;7.863;2.865;5.813",136.853,1,none
4,config_2,2004,0,3,"0.147;0.154;0.11;0.132","5.017;10.516;6.165;8.362",144.986,1,none
5,config_2,2005,0,3,"0.136;0.172;0.12;0.174","5.009;16.663;4.166;5.711",146.616,1,none
6,config_2,2006,0,3,"0.105;0.136;0.139;0.141","5.514;8.068;7.113;9.313",145.529,1,none
7,config_2,2007,0,3,"0.118;0.133;0.125;0.144","5.414;8.012;3.463;5.967",137.554,1,none
8,config_2,2008,0,3,"0.149;0.162;0.154;0.148","5.262;10.714;6.218;8.766",145.982,1,none
9,config_2,2009,0,3,"0.138;0.164;0.172;0.139","5.314;10.41;6.212;6.163",143.645,1,none
10,config_2,2010,0,3,"0.11;0.16;0.166;0.134","5.613;11.065;6.259;9.361",147.752,1,none
