run_idx,config,seed,warmup,n_stations,per_op_plan_time,per_op_exec_time,full_cycle_time,success,failure_cause
0,config_2,3000,1,3,"0.123;0.134;0.138;0.151","4.961;7.666;3.512;8.512",136.931,1,none
1,config_2,3001,0,3,"0.131;0.149;0.117;0.169","5.465;9.666;5.862;8.714",144.343,1,none
2,config_2,3002,0,3,"0.117;0.168;0.149;0.142","5.016;10.264;6.061;8.163",144.537,1,none
3,config_2,3003,0,3,"0.09;0.089;0.096;0.129","4.459;8.611;5.01;12.562",141.38,1,none
4,config_2,3004,0,3,"0.086;0.101;0.086;0.098","4.462;6.36;2.762;4.909",127.437,1,none
5,config_2,3005,0,3,"0.081;0.108;0.086;0.097","4.461;8.661;5.01;7.109",134.846,1,none
6,config_2,3006,0,3,"0.08;0.098;0.115;0.126","4.46;8.612;10.411;12.511",145.706,1,none
7,config_2,3007,0,3,"0.106;0.097;0.09;0.1","4.507;6.358;2.758;4.86",144.89,0,place_fail
8,config_2,3008,0,3,"0.097;0.087;0.1;0.092","4.459;6.361;2.76;4.909",128.146,1,none
9,config_2,3009,0,3,"0.097;0.101;0.101;0.082","4.459;8.657;3.913;4.86",130.795,1,none
10,config_2,3010,0,3,"0.099;0.105;0.112;0.102","4.462;8.608;5.008;7.113",134.808,1,none
