run_idx,config,seed,warmup,n_stations,per_op_plan_time,per_op_exec_time,full_cycle_time,success,failure_cause
0,config_2,2000,1,3,"0.095;0.118;0.097;0.091","4.461;8.609;5.006;7.109",117.283,1,none
1,config_2,2001,0,3,"0.101;0.094;0.099;0.092","4.462;8.611;5.01;7.109",119.824,1,none
2,config_2,2002,0,3,"0.093;0.12;0.091;0.089","4.463;6.362;2.759;4.859",112.872,1,none
3,config_2,2003,0,3,"0.102;0.096;0.092;0.098","4.513;6.357;2.76;7.109",116.035,1,none
4,config_2,2004,0,3,"0.093;0.105;0.089;0.093","4.461;8.66;3.912;4.861",116.435,1,none
5,config_2,2005,0,3,"0.079;0.093;0.092;0.107","4.509;6.413;2.808;4.861",113.204,1,none
6,config_2,2006,0,3,"0.097;0.1;0.091;0.097","4.459;8.657;5.009;7.11",119.97,1,none
7,config_2,2007,0,3,"0.085;0.095;0.093;0.108","4.458;6.41;2.763;4.861",112.861,1,none
8,config_2,2008,0,3,"0.067;0.096;0.094;0.097","4.457;6.409;6.16;7.162",118.974,1,none
9,config_2,2009,0,3,"0.087;0.109;0.091;0.09","4.461;8.659;5.009;4.859",118.465,1,none
10,config_2,2010,0,3,"0.085;0.101;0.088;0.1","4.511;6.411;2.81;7.109",115.876,1,none
11,config_2,2011,0,3,"0.089;0.085;0.093;0.079","4.463;8.658;5.011;4.909",117.611,1,none
