eval,Random_mean,SA_mean,GA_mean,CMA-ES_mean,PSO_mean,BO_mean,Random_std,SA_std,GA_std,CMA-ES_std,PSO_std,BO_std
1,144.5188,121.12018,144.5188,134.52994,144.5188,144.5188,27.82538,0.38508,27.82538,9.7794,27.82538,27.82538
2,132.41417,120.17633,132.41417,126.50831,132.41417,132.41417,18.81593,1.95072,18.81593,6.2174,18.81593,18.81593
3,122.12627,119.85889,122.12627,122.99387,122.12627,122.12627,10.98323,1.90221,10.98323,3.97249,10.98323,10.98323
4,121.79779,119.85889,121.79779,122.99387,121.79779,121.79779,10.40062,1.90221,10.40062,3.97249,10.40062,10.40062
5,121.79779,119.59645,121.79779,122.99387,121.79779,121.79779,10.40062,1.86185,10.40062,3.97249,10.40062,10.40062
6,119.7933,119.54725,119.7933,122.99387,119.7933,119.7933,7.45184,1.84151,7.45184,3.97249,7.45184,7.45184
7,117.34357,118.798,117.34357,122.65988,117.34357,117.34357,6.76402,2.58337,6.76402,3.93651,6.76402,6.76402
8,117.34357,118.42845,117.34357,121.73457,117.34357,117.34357,6.76402,3.21871,6.76402,5.08949,6.76402,6.76402
9,117.34357,118.42845,117.34357,118.19323,117.34357,117.34357,6.76402,3.21871,6.76402,6.59318,6.76402,6.76402
10,117.34357,118.25983,117.34357,117.03955,117.34357,117.34357,6.76402,3.53495,6.76402,6.38454,6.76402,6.76402
11,117.34357,118.25983,117.34357,116.09694,117.34357,117.34357,6.76402,3.53495,6.76402,5.04546,6.76402,6.76402
12,115.36631,117.92304,115.36631,115.8951,115.36631,115.36631,7.12629,3.5103,7.12629,5.06658,7.12629,7.12629
13,115.09771,117.92304,115.09771,115.8951,115.09771,115.09771,6.99419,3.5103,6.99419,5.06658,6.99419,6.99419
14,115.09771,117.92304,115.09771,115.8951,115.09771,115.09771,6.99419,3.5103,6.99419,5.06658,6.99419,6.99419
15,115.09771,116.5856,115.09771,115.8951,115.09771,115.09771,6.99419,3.89913,6.99419,5.06658,6.99419,6.99419
16,115.09771,115.675,115.09771,115.8951,115.09771,114.90405,6.99419,4.53796,6.99419,5.06658,6.99419,7.09273
17,110.57048,115.675,110.57048,115.8951,110.57048,114.27974,1.53581,4.53796,1.53581,5.06658,1.53581,7.45581
18,110.57048,115.675,110.57048,115.8951,110.57048,113.35377,1.53581,4.53796,1.53581,5.06658,1.53581,7.29208
19,110.57048,115.675,110.57048,115.47658,110.57048,78.60402,1.53581,4.53796,1.53581,4.61351,1.53581,50.59897
20,110.57048,98.66706,110.57048,115.30278,110.57048,76.24933,1.53581,41.65636,1.53581,4.69245,1.53581,48.71649
21,110.57048,98.66706,110.57048,115.30278,110.57048,58.70477,1.53581,41.65636,1.53581,4.69245,1.53581,50.26625
22,110.57048,97.85101,110.57048,115.30278,110.57048,57.81535,1.53581,41.25543,1.53581,4.69245,1.53581,49.36374
23,110.57048,97.85089,110.57048,115.09707,110.57048,41.24748,1.53581,41.25569,1.53581,4.82481,1.53581,46.54746
24,110.57048,97.85082,110.57048,115.09707,110.57048,40.03505,1.53581,41.25587,1.53581,4.82481,1.53581,45.15206
25,110.57048,97.85082,110.57048,114.5211,110.57048,39.702,1.53581,41.25587,1.53581,4.43509,1.53581,44.6679
