seed,n_stations,init_cost,sa_cost,baseline_cost,impr_vs_baseline_pct,impr_vs_init_pct,accepts,iters,sa_wall_s,base_wall_s,best_order,config
600,3,5.0978,5.0874,5.123,0.69,0.2,98,150,28.43,5.44,conveyor_1|conveyor_2|conveyor_3,sa_s600_n3.yaml
601,3,5.2784,4.5553,5.2108,12.58,13.7,102,150,32.89,7.08,conveyor_2|conveyor_1|conveyor_3,sa_s601_n3.yaml
602,3,5.4321,4.6903,4.9867,5.94,13.66,110,150,32.09,6.45,conveyor_3|conveyor_1|conveyor_2,sa_s602_n3.yaml
603,3,5.5153,4.7453,5.2812,10.15,13.96,80,150,31.01,4.01,conveyor_3|conveyor_2|conveyor_1,sa_s603_n3.yaml
604,3,5.014,4.9602,4.8437,-2.41,1.07,90,150,28.13,4.38,conveyor_1|conveyor_2|conveyor_3,sa_s604_n3.yaml
605,3,4.9988,4.9988,5.6664,11.78,0.0,87,150,29.94,4.56,conveyor_1|conveyor_2|conveyor_3,sa_s605_n3.yaml
606,3,5.2677,4.6289,5.0884,9.03,12.13,81,150,30.9,8.68,conveyor_2|conveyor_3|conveyor_1,sa_s606_n3.yaml
607,3,5.1308,4.8097,5.0783,5.29,6.26,65,150,23.88,3.51,conveyor_1|conveyor_2|conveyor_3,sa_s607_n3.yaml
608,3,4.9067,4.7602,5.3473,10.98,2.99,85,150,29.42,5.21,conveyor_1|conveyor_2|conveyor_3,sa_s608_n3.yaml
609,3,5.2817,4.7732,5.7923,17.59,9.63,79,150,34.15,3.89,conveyor_1|conveyor_2|conveyor_3,sa_s609_n3.yaml
610,3,5.157,4.5078,5.1454,12.39,12.59,102,150,32.99,2.83,conveyor_1|conveyor_3|conveyor_2,sa_s610_n3.yaml
611,3,4.8012,4.8012,5.2069,7.79,0.0,74,150,28.55,6.39,conveyor_1|conveyor_2|conveyor_3,sa_s611_n3.yaml
612,3,5.2395,4.6147,4.809,4.04,11.93,87,150,28.74,6.24,conveyor_1|conveyor_2|conveyor_3,sa_s612_n3.yaml
613,3,5.3193,5.0862,5.3163,4.33,4.38,104,150,30.71,3.72,conveyor_2|conveyor_1|conveyor_3,sa_s613_n3.yaml
